ID,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,v20,v21,v22,V23,V24,V25,v26,V27,v28
117,2,0,18,2,6,8,8,10,5,0,8,14,0,0,0.5,0.45611595,0.518546357,0.283950617,1,0.364706886,1,0,0,0,0,0,1,0,0.380766176
118,2,0,19,2,8,25,20,2,1,0,5,9,0,0,0.5,0.312888295,0.394830103,0.302469136,1,0.148306169,0,0,0,0,0,0,1,1,0.262309899
119,2,0,21,2,9,9,9,2,1,0,3,4,0,0,0.5,0.312827192,0.37204968,0.290123457,1,0.092840686,0,0,0,0,0,0,1,0,0.201545482
120,2,0,21,2,1,9,9,2,1,0,1,2,0,0,0,0.25818063,0.328842508,0.345679012,1,0.099752539,0,0,0,0,0,0,1,0,0.180912798
121,2,0,21,2,1,9,9,2,1,0,3,4,0,0,0,0.183412164,0.26401727,0.388888889,1,0.035071252,0,0,0,0,0,0,0,0,0.143451314
122,2,1,22,1,9,17,16,1,1,0,1,1,0,0,1,0.26881742,0.480646795,0.25308642,1,0.228603123,1,0,0,1,1,1,1,0,0.487555973
123,2,1,22,1,2,26,9,2,1,0,1,2,0,1,1,0.26881742,0.432151218,0.271604938,1,0.170833689,0,0,0,1,1,1,1,0,0.478847512
124,2,1,22,1,7,16,15,12,5,0,5,9,0.5,0,1,0.552027197,0.588905517,0.290123457,1,0.541001792,1,0,0,1,1,1,1,1,0.560094155
125,2,0,22,1,3,22,12,4,2,0,3,4,0,1,0.5,0.26881742,0.452907923,0.265432099,1,0.190545268,1,0,0,1,1,1,1,0,0.390501622
126,2,0,22,1,2,22,12,4,2,0,1,2,0,1,0.5,0.26881742,0.492541429,0.228395062,1,0.197798447,1,0,0,1,1,1,1,0,0.410318319
127,2,0,23,3,6,11,11,10,5,0,8,14,0,0.5,0.5,0.273909335,0.412707582,0.308641975,1,0.188838638,1,0,0,1,1,0,1,0,0.376018088
128,2,0,23,3,1,26,9,2,1,0,3,4,0,0.5,0.5,0.306965394,0.379813867,0.302469136,1,0.121512074,0,0,0,0,1,0,1,0,0.301010832
129,2,0,23,3,2,22,12,4,2,0,3,4,0,0,0.5,0.364384667,0.485016182,0.24691358,1,0.202662343,1,0,0,1,1,1,1,0,0.387685628
130,2,0,23,3,2,21,12,4,2,0,3,4,0,0,0.5,0.404503016,0.44486536,0.308641975,1,0.252325284,1,0,0,0,1,1,1,0,0.363850525
131,2,0,23,3,6,20,8,10,5,0,8,14,0.5,1,1,0.403720211,0.645035408,0.179012346,1,0.405580681,1,1,0,1,1,1,1,0,0.537979905
132,2,0,23,3,3,23,13,5,3,0,3,4,0,0.5,1,0.504472118,0.573919398,0.265432099,1,0.449867736,1,0,0,0,1,1,1,0,0.49167633
133,2,0,23,3,3,23,13,5,3,0,3,4,0,1,1,0.343443578,0.61199279,0.179012346,1,0.331171602,1,0,0,1,1,1,1,0,0.486797782
134,2,0,23,3,7,15,14,14,6,0,5,9,0,0,1,0.518030535,0.543482618,0.314814815,1,0.498080041,1,1,0,1,1,1,1,1,0.502594693
135,2,1,23,3,6,16,15,12,5,0,8,14,0.5,0.5,1,0.48183166,0.707657745,0.154320988,1,0.507210513,1,1,0,1,1,1,1,0,0.614870444
136,2,1,23,3,6,32,25,12,5,0,8,14,1,0,1,0.734598526,0.771128786,0.141975309,1,0.634951788,1,1,1,1,1,1,1,0,0.715050396
137,2,0,24,2,2,13,12,4,2,0,3,4,0,0,0.5,0.345963467,0.441726339,0.271604938,1,0.190545268,1,0,0,0,0,0,1,0,0.303912822
138,2,0,24,2,3,14,13,5,3,0,3,4,0,0.5,0.5,0.40077219,0.529489364,0.228395062,1,0.267172967,1,0,0,0,1,1,1,0,0.384083851
139,2,0,24,2,6,8,8,10,5,0,8,14,0.5,0.5,0.5,0.419945492,0.548732657,0.240740741,1,0.336291492,1,0,0,1,1,1,1,0,0.451220081
140,2,0,26,2,9,9,9,2,1,0,3,4,0,0,0,0.268318566,0.317500833,0.37037037,1,0.107859032,0,0,0,0,0,0,1,0,0.104089966
141,2,0,26,2,3,13,12,4,2,0,3,4,0,0,0.5,0.329441856,0.407767858,0.277777778,1,0.139602355,1,0,0,0,0,1,1,0,0.260361824
142,2,0,26,2,1,17,16,1,1,0,1,2,0,0,0.5,0.29374126,0.3269904,0.413580247,1,0.178172199,0,0,0,0,0,0,1,0,0.210074076
143,2,0,26,2,6,8,8,10,5,0,8,14,0,0,0.5,0.43677924,0.493629597,0.296296296,1,0.341326052,1,1,0,0,1,1,1,0,0.354230544
144,2,0,26,2,1,17,16,1,1,0,1,2,0,0,0.5,0.226076601,0.282584158,0.413580247,1,0.100691185,0,0,0,0,0,0,1,0,0.159631791
145,2,1,66,3,4,28,22,16,7,0,2,3,0,0,1,0.744161696,0.816197558,0.179012346,1,0.936001365,1,0,0,1,1,1,1,0,0.70302144
146,2,0,66,3,1,26,9,2,1,0,1,2,0,0,0.5,0.292270966,0.387655664,0.314814815,1,0.154194044,0,0,0,0,0,0,1,0,0.310691764
147,2,0,66,3,6,16,15,12,5,0,8,14,0.5,0,1,0.544547079,0.560015997,0.296296296,1,0.495434764,1,1,0,1,1,1,1,1,0.523459175
148,2,0,66,3,3,22,12,4,2,0,3,4,0,0.5,0.5,0.35836091,0.454200493,0.283950617,1,0.232613704,1,0,0,0,1,0,1,0,0.382379341
149,2,0,66,3,3,14,13,5,3,0,3,4,0,0,0.5,0.403950511,0.500067154,0.259259259,1,0.279887362,1,0,0,0,1,0,1,0,0.381760645
150,2,0,66,3,3,23,13,5,3,0,3,4,0,0.5,1,0.468068017,0.563428561,0.234567901,1,0.359416332,1,1,0,1,1,1,1,0,0.465472521
151,2,0,66,3,1,12,9,2,1,0,1,2,0,0,0.5,0.249044253,0.349471177,0.314814815,1,0.092243365,1,0,0,0,0,0,1,0,0.240369586
152,2,0,66,3,1,11,11,10,5,0,1,2,0.5,1,0.5,0.270266839,0.491864926,0.222222222,1,0.192166567,1,0,0,1,1,0,1,0,0.408632114
153,2,0,28,4,2,21,12,4,2,0,3,4,0,0,0.5,0.404779038,0.491864926,0.265432099,1,0.268879597,1,0,0,0,0,0,1,0,0.361438366
154,2,0,28,4,2,22,12,4,2,0,3,4,0,0,0.5,0.405722426,0.495471019,0.228395062,1,0.2109395,1,0,0,0,1,0,1,0,0.408732946
155,2,0,28,4,6,20,8,10,5,0,8,14,0.5,0,1,0.482523222,0.556509641,0.24691358,1,0.369912109,1,0,0,1,1,1,1,0,0.51010986
156,2,0,28,4,7,15,14,14,6,0,5,9,0,0,1,0.538260473,0.5889398,0.24691358,1,0.456096937,1,1,0,1,0,1,1,0,0.574800308
157,2,0,28,4,8,24,19,4,2,0,5,7,0,0,1,0.404503016,0.494618648,0.25308642,1,0.258554484,1,0,0,1,1,1,1,1,0.444950868
158,2,0,28,4,3,23,13,5,3,0,3,4,0,0,1,0.498207542,0.561706536,0.234567901,1,0.357453708,1,0,0,1,1,1,1,0,0.53281785
159,2,0,28,4,3,23,13,5,3,0,3,4,0,0,1,0.488869024,0.559266351,0.222222222,1,0.33108627,1,0,0,1,1,1,1,0,0.498470428
160,2,0,28,4,1,26,9,2,1,0,3,4,0,0,0.5,0.317694067,0.434827688,0.24691358,1,0.13704241,1,0,0,0,0,0,1,0,0.344232
161,2,0,28,4,2,22,12,4,2,0,3,4,0,0,0.5,0.404503016,0.489091176,0.240740741,1,0.222715249,1,0,0,1,0,0,1,0,0.391921371
162,2,0,28,4,4,16,15,12,5,0,1,2,0.5,0,1,0.548984605,0.630730362,0.191358025,1,0.418892397,1,1,0,1,1,1,1,0,0.55850446
163,2,0,28,4,1,26,9,2,1,0,1,2,0,0,0.5,0.295478974,0.375679902,0.296296296,1,0.09642461,0,0,0,0,0,0,1,0,0.315704712
164,2,0,28,4,8,15,14,14,6,0,5,9,0,0,1,0.538260473,0.5889398,0.234567901,1,0.430412151,1,0,0,1,1,1,1,1,0.531786318
165,2,0,29,2,6,8,8,10,5,0,8,14,0,1,0.5,0.415974433,0.537992814,0.228395062,1,0.292601758,1,0,0,1,1,0,1,0,0.404502582
